year;site;phenotype;id;ps_flor;n_ovu;polen_type;max_polen;min_polen
2019;gualeguaychu;364;10;0.019;4;grano de polen;21;15
2021;concordia;154;1;0.01512;8;microspora;21;21
2021;concordia;154;2;0.01132;7;microspora;19.5;16.5
2021;concordia;154;3;0.0331;6;microspora;19.5;19.5
2021;concordia;154;4;0.01312;5;microspora;19.5;18
2021;concordia;154;5;0.01364;7;microspora;22.5;18
2021;concordia;154;6;0.085;8;microspora;19.5;18
2021;concordia;154;7;0.01178;8;microspora;18;16.5
2021;concordia;154;8;0.016;5;microspora;18;18
2021;concordia;154;9;0.0778;6;microspora;22.5;21
2021;concordia;154;10;0.01699;5;NA;NA;NA
2021;concordia;156;1;0.0121;1;microspora;19.5;13.5
2021;concordia;156;2;0.0271;5;microspora;19.5;16.5
2021;concordia;156;3;0.0229;6;microspora;18;15
2021;concordia;156;4;0.0227;NA;microspora;22.5;15
2021;concordia;156;5;0.0126;NA;microspora;19.5;15
2021;concordia;156;6;0.034;NA;microspora;19.5;19.5
2021;concordia;156;7;0.0257;NA;microspora;19.5;16.5
2021;concordia;156;8;0.021;NA;microspora;15;13.5
2021;concordia;156;9;NA;NA;microspora;18;16.5
2021;concordia;156;10;NA;NA;microspora;18;15
2021;concordia;161;1;0.0585;1;microspora;19.5;16.5
2021;concordia;161;2;0.0188;3;microspora;22.5;21
2021;concordia;161;3;0.0474;3;microspora;18;16.5
2021;concordia;161;4;0.0665;0;microspora;22.5;22.5
2021;concordia;161;5;0.052;4;microspora;21;19.5
2021;concordia;161;6;0.0474;NA;microspora;21;18
2021;concordia;161;7;0.026;NA;microspora;21;18
2021;concordia;161;8;0.077;NA;microspora;21;19.5
2021;concordia;161;9;0.045;NA;microspora;27;22.5
2021;concordia;161;10;0.0546;NA;microspora;27;19.5
2021;concordia;171;1;0.0149;4;grano de polen;19.5;18
2021;concordia;171;2;0.0963;4;grano de polen;22.5;22.5
2021;concordia;171;3;0.0192;4;grano de polen;21;21
2021;concordia;171;4;0.0616;4;grano de polen;22.5;19.5
2021;concordia;171;5;0.0124;6;grano de polen;21;18
2021;concordia;171;6;0.0116;3;grano de polen;22.5;19.5
2021;concordia;171;7;0.0192;5;grano de polen;21;21
2021;concordia;171;8;0.0548;4;grano de polen;22.5;22.5
2021;concordia;171;9;0.017;4;grano de polen;27;27
2021;concordia;171;10;0.079;3;grano de polen;22.5;22.5
2021;concordia;174;1;0.0198;8;grano de polen;22.5;18
