"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"309","2019","PN El Palmar","286","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"310","2019","PN El Palmar","287","1",15.7,6,"grano de polen",21,16.5,31.5,24.75,28.125,2
"311","2019","PN El Palmar","287","2",18.3,7,"grano de polen",22.5,22.5,33.75,33.75,33.75,1
"312","2019","PN El Palmar","287","3",14.3,4,"grano de polen",16.5,16.5,24.75,24.75,24.75,1
"313","2019","PN El Palmar","287","4",16.7,6,"grano de polen",15,15,22.5,22.5,22.5,1
"314","2019","PN El Palmar","287","5",18,6,"grano de polen",21,19.5,31.5,29.25,30.375,1
"315","2019","PN El Palmar","287","6",16.5,7,"grano de polen",22.5,22.5,33.75,33.75,33.75,1
"316","2019","PN El Palmar","287","7",15.7,5,"grano de polen",24,22.5,36,33.75,34.875,1
"317","2019","PN El Palmar","287","8",17.6,6,"grano de polen",27,15,40.5,22.5,31.5,1
"318","2019","PN El Palmar","287","9",13.8,5,"grano de polen",25.5,18,38.25,27,32.625,1
"319","2019","PN El Palmar","287","10",16.4,8,"grano de polen",27,24,40.5,36,38.25,1
"320","2019","PN El Palmar","287","11",NA,NA,NA,NA,NA,NA,NA,NA,2
"321","2019","PN El Palmar","287","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"322","2019","PN El Palmar","288","1",17,1,"grano de polen",16.5,16.5,24.75,24.75,24.75,1
"323","2019","PN El Palmar","288","2",20.8,3,"grano de polen",19.5,16.5,29.25,24.75,27,1
"324","2019","PN El Palmar","288","3",15.5,4,"grano de polen",22.5,13.5,33.75,20.25,27,1
"325","2019","PN El Palmar","288","4",18.1,6,"grano de polen",22.5,13.5,33.75,20.25,27,2
"326","2019","PN El Palmar","288","5",18.9,5,"grano de polen",19.5,16.5,29.25,24.75,27,1
"327","2019","PN El Palmar","288","6",20.5,5,"grano de polen",19.5,18,29.25,27,28.125,1
"328","2019","PN El Palmar","288","7",14.9,6,"grano de polen",22.5,21,33.75,31.5,32.625,1
"329","2019","PN El Palmar","288","8",14.2,6,"grano de polen",19.5,15,29.25,22.5,25.875,1
"330","2019","PN El Palmar","288","9",17.9,7,"grano de polen",25.5,15,38.25,22.5,30.375,NA
"331","2019","PN El Palmar","288","10",15.5,6,"grano de polen",21,16.5,31.5,24.75,28.125,NA
"332","2019","PN El Palmar","289","1",NA,NA,NA,NA,NA,NA,NA,NA,3
"333","2019","PN El Palmar","289","2",NA,NA,NA,NA,NA,NA,NA,NA,1
"334","2019","PN El Palmar","289","3",NA,NA,NA,NA,NA,NA,NA,NA,1
"335","2019","PN El Palmar","289","4",NA,NA,NA,NA,NA,NA,NA,NA,1
"336","2019","PN El Palmar","289","5",NA,NA,NA,NA,NA,NA,NA,NA,1
"337","2019","PN El Palmar","289","6",NA,NA,NA,NA,NA,NA,NA,NA,1
"338","2019","PN El Palmar","289","7",NA,NA,NA,NA,NA,NA,NA,NA,1
"339","2019","Gualeguaychu","305","1",20.2,6,"grano de polen",19.5,19.5,29.25,29.25,29.25,1
"340","2019","Gualeguaychu","305","2",18.1,7,"grano de polen",24,22.5,36,33.75,34.875,3
"341","2019","Gualeguaychu","305","3",18.8,2,"grano de polen",19.5,18,29.25,27,28.125,1
"342","2019","Gualeguaychu","305","4",18.8,6,"grano de polen",22.5,13.5,33.75,20.25,27,2
"343","2019","Gualeguaychu","305","5",20.7,5,"grano de polen",16.5,15,24.75,22.5,23.625,2
"344","2019","Gualeguaychu","305","6",18.3,0,"grano de polen",21,19.5,31.5,29.25,30.375,1
"345","2019","Gualeguaychu","305","7",20.1,5,"grano de polen",21,21,31.5,31.5,31.5,2
"346","2019","Gualeguaychu","305","8",20.8,3,"grano de polen",18,18,27,27,27,1
"347","2019","Gualeguaychu","305","9",17.7,6,"grano de polen",24,16.5,36,24.75,30.375,1
"348","2019","Gualeguaychu","305","10",15.2,0,"grano de polen",22.5,19.5,33.75,29.25,31.5,1
"349","2019","Gualeguaychu","305","11",NA,NA,NA,NA,NA,NA,NA,NA,2
"350","2019","Gualeguaychu","305","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"351","2019","Gualeguaychu","306","1",7.6,4,"grano de polen",16.5,19.5,24.75,29.25,27,1
"352","2019","Gualeguaychu","306","2",8.8,4,"grano de polen",24,18,36,27,31.5,1
"353","2019","Gualeguaychu","306","3",8.4,4,"grano de polen",22.5,21,33.75,31.5,32.625,1
"354","2019","Gualeguaychu","306","4",7.3,3,"grano de polen",19.5,19.5,29.25,29.25,29.25,1
"355","2019","Gualeguaychu","306","5",7.6,5,"grano de polen",19.5,18,29.25,27,28.125,1
"356","2019","Gualeguaychu","306","6",11,3,"grano de polen",21,18,31.5,27,29.25,1
"357","2019","Gualeguaychu","306","7",9.7,5,"grano de polen",18,15,27,22.5,24.75,1
"358","2019","Gualeguaychu","306","8",8.2,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"359","2019","Gualeguaychu","306","9",7.8,5,"grano de polen",18,13.5,27,20.25,23.625,1
"360","2019","Gualeguaychu","306","10",6.1,6,"grano de polen",19.5,18,29.25,27,28.125,NA
"361","2019","Gualeguaychu","321","1",16,4,"grano de polen",34.5,33,51.75,49.5,50.625,2
"362","2019","Gualeguaychu","321","2",14.1,6,"grano de polen",30,28.5,45,42.75,43.875,3
"363","2019","Gualeguaychu","321","3",16.6,5,"grano de polen",30,28.5,45,42.75,43.875,NA
"364","2019","Gualeguaychu","321","4",19.2,1,"grano de polen",31.5,30,47.25,45,46.125,NA
